gid,srand,Primary,Secondary,Internal,Antisense
b4349,-,4581252,"[4581132, 4581286, 4581316]",[],[4581095]
b4347,-,4577940,[],[],[4577858]
b4625,+,4577858,[],[],[4577940]
b4346,-,4577384,[],"[4576368, 4576931, 4577222]","[4576539, 4576550, 4576593, 4576595, 4576927, 4576930]"
b4486,+,4571666,[],"[4572167, 4572630, 4572635, 4573293, 4573561, 4574763, 4574801]","[4572460, 4572626, 4572777, 4573087, 4573427, 4574539]"
b4342,+,4570183,[4570310],"[4570477, 4570623, 4570729, 4571164, 4571666]","[4570599, 4571291]"
b4340,-,4569664,[],"[4568592, 4568843]",[4568093]
b4337,-,4566790,[4566777],"[4565517, 4566017]",[4565811]
b4336,-,4565269,[4565517],[],[4563949]
b4335,-,4563912,[4563928],[],[4563949]
b4333,-,4561772,[],"[4560816, 4561140, 4561284, 4561293, 4561609]",[4561420]
b4332,-,4560816,[],[],"[4559517, 4559522]"
b4330,-,4558951,[],[],[]
b4328,-,4557669,[],"[4556577, 4557438, 4557542]","[4557421, 4557550]"
b4327,-,4556338,[4556577],"[4555878, 4555880, 4556276]",[4555966]
b4326,+,4554879,[],[],[]
b4324,+,4552503,[],[4553325],[]
b4322,+,4549544,[],[4550032],[4550909]
b4321,-,4549357,[],[4548923],"[4547884, 4547994, 4548793]"
b4315,+,4541558,[],[],"[4541987, 4542271]"
b4314,+,4541009,[4541117],"[4541322, 4541558]",[4541072]
b4313,+,4539896,[4539893],"[4540245, 4540490]","[4540461, 4540717]"
b4310,-,4536927,[],"[4535764, 4536423, 4536750]",[]
b4309,-,4535764,[],[],"[4534601, 4535002, 4535452]"
b4657,-,4532957,[],[4532661],[]
b4566,-,4532247,[4532082],[],"[4531810, 4532055, 4532057, 4532061]"
b4656,-,4530384,[],[],[4530381]
b4624,+,4525999,"[4525799, 4525903]",[],[4525907]
b4299,-,4523846,[],[4523575],[]
b4295,-,4518437,[4518532],"[4517903, 4518269]","[4517738, 4518365]"
b4294,+,4516403,"[4516390, 4516535]",[],[]
b4293,-,4516286,[],[],[]
b4287,-,4509660,[],[],[4508622]
b4286,+,4507788,[],[],[]
b4561,-,4506979,[],[],[4506727]
b4284,-,4506655,[],[4505593],"[4505614, 4505671, 4505808, 4506097, 4506361, 4506727]"
b4623,+,4505065,[4505200],[4507788],"[4506979, 4507511]"
b4281,-,4504925,[4505042],[],[4504605]
b4655,+,4504312,[4504276],[4504482],[4504497]
b4278,-,4501547,[4501558],"[4500954, 4501274, 4501323]",[4500078]
b4277,+,4499096,[],[],[]
b4273,+,4496579,[],[4496765],"[4496753, 4497407, 4497592]"
b4272,+,4496267,[],[4496579],"[4496254, 4496753]"
b4271,+,4494598,[],"[4494875, 4495365, 4495604, 4495703, 4495709, 4495883]","[4494967, 4495236, 4495305, 4495567, 4495684]"
b4270,+,4494406,[],[],[]
b4267,-,4492458,[4492508],[],[]
b4264,-,4489327,[4489211],"[4488420, 4488769, 4489114]","[4488103, 4488803, 4489027]"
b4263,-,4488149,[4488106],[],"[4486517, 4487413, 4487616, 4488103]"
b4260,-,4484133,"[4484159, 4484161, 4484241]",[],"[4483392, 4483510, 4483977, 4484032]"
b4261,+,4484032,"[4483977, 4484083]",[],"[4484159, 4484161, 4484241, 4484489, 4484992, 4485405]"
b4258,-,4481950,[],"[4479743, 4480782]","[4479314, 4480356, 4481685, 4481800]"
b4257,+,4477688,[],"[4477933, 4478596]",[]
b4256,-,4477592,[],[4477554],"[4476966, 4477409]"
b4255,+,4476468,[],"[4476723, 4476847]","[4476458, 4476909]"
b4254,-,4476367,"[4476373, 4476458]",[4475359],[]
b4253,+,4473426,[],[4475183],[4475359]
b4252,+,4472802,"[4472737, 4472791]",[],"[4472941, 4472956]"
b4251,+,4472119,[],"[4472399, 4472550, 4472737]","[4472383, 4472535, 4472782]"
b4248,-,4471432,[],[4471001],[]
b4246,-,4470574,[4470768],[],[4470403]
b4702,+,4465385,[4465304],[],[4465366]
b4241,-,4465366,[],"[4464454, 4464642, 4464879, 4464906]","[4464991, 4465304]"
b4240,-,4464233,[4464454],"[4463621, 4463722, 4463895]",[4463994]
b4238,-,4460823,[],"[4458777, 4459570, 4459953]",[]
b4237,-,4458535,[],"[4458213, 4458276, 4458368]",[4458429]
b4236,+,4457382,"[4457233, 4457272]","[4457524, 4457815]",[]
b4234,-,4455992,[4455972],[],[]
b4233,+,4453785,[4453783],[4455039],"[4453788, 4454449]"
b4232,-,4453669,[4453788],[4453480],"[4452926, 4452981, 4453018]"
b4227,+,4447938,[4447967],[],[4448964]
b4224,+,4446427,[4446272],[],[]
b4222,+,4445686,[4445839],[],"[4445931, 4446070]"
b4219,-,4440286,[],[],"[4440096, 4440245, 4440274]"
b4220,+,4440274,[4440245],"[4440445, 4440517, 4440836, 4441177]","[4440942, 4441711]"
b4218,-,4439341,[],"[4438121, 4438446, 4438613, 4438822, 4439073]","[4437861, 4438373, 4439152, 4439234, 4439244]"
b4217,+,4437534,[4437436],[],[]
b4216,-,4437333,[4437459],[4436886],"[4436730, 4437157]"
b4213,-,4434652,[4434782],[4432703],[4434587]
b4214,+,4434587,[4434704],"[4434834, 4434930]","[4434782, 4435574]"
b4212,+,4432106,[],[],[]
b4210,-,4431141,[],"[4430651, 4430854, 4430978]",[]
b4209,-,4430032,[],"[4429371, 4429424, 4429676]",[]
b4208,+,4427803,"[4427595, 4427700, 4427793]",[4428663],"[4427816, 4427883, 4429371]"
b4207,+,4426930,"[4426836, 4426857]",[4427320],[]
b4206,-,4426765,[4426842],[],[4426836]
b4203,+,4423984,[4423940],[4424407],[4424118]
b4202,+,4423780,[4423734],"[4423940, 4423984]","[4424001, 4424118]"
b4200,+,4423048,[],[],[]
b4197,+,4420802,[],"[4421242, 4421244]",[]
b4193,+,4417950,[],[4418398],[4418014]
b4191,-,4416564,[],[4415841],[]
b4189,-,4414892,[],[],[4414807]
b4190,+,4414807,[],[],"[4414892, 4415214, 4415243]"
b4188,-,4414393,[],[4414043],[4413987]
b4181,+,4408101,[],[4408161],[]
b4180,+,4407202,[],[],"[4407369, 4407498, 4408021]"
b4178,+,4404147,"[4404020, 4404174]",[],"[4404164, 4404337, 4404613]"
b4177,+,4402683,"[4402536, 4402688]","[4403140, 4403714]","[4403123, 4403200, 4403506]"
b4176,+,4402337,[],[4402536],[4402320]
b4175,+,4401299,[],[4401358],"[4401254, 4402320]"
b4173,+,4398642,[],[],"[4398737, 4399786]"
b4172,+,4398243,[],[],[4398282]
b4171,+,4397075,[4397245],"[4397421, 4397825]","[4397786, 4398282]"
b4169,+,4393911,[],"[4394409, 4395123]",[4394816]
b4168,+,4393438,[],[4393911],[4393871]
b4166,-,4392115,[],"[4391780, 4391790]","[4390920, 4391799]"
b4167,+,4391799,[],"[4392311, 4393202, 4393305, 4393438]",[4392115]
b4670,+,4390702,[],[4390920],[]
b4165,+,4390606,[],[],[]
b4164,+,4390495,[],[],[]
b4163,+,4390332,[4390242],[],[]
b4161,-,4389569,"[4389612, 4389698, 4389734]",[4388659],[4389123]
b4160,-,4388462,[4388659],[4387491],"[4387390, 4387392, 4388283]"
b4159,-,4387491,[],"[4384169, 4385000, 4385125]","[4385180, 4387178, 4387201, 4387390, 4387392]"
b4157,+,4383230,[],[],[4383626]
b4156,+,4381765,[],"[4382017, 4382424, 4383230]",[]
b4155,+,4380522,"[4380464, 4380612, 4380641]","[4380719, 4381251, 4381392]",[4381374]
b4154,-,4380437,[],[4379849],[4380235]
b4151,-,4377661,[4377579],"[4377060, 4377340]",[]
b4150,-,4377060,[],[4376880],[4376808]
b4148,+,4374822,[4374734],[4375009],[4374899]
b4411,+,4374533,[],[],"[4374496, 4374517]"
b4146,-,4373723,[],[],"[4372597, 4373588, 4373678]"
b4147,+,4373678,[4373588],[],"[4373723, 4374049]"
b4145,-,4372334,[],[],"[4371684, 4372065]"
b4144,+,4370784,[4370726],[],"[4370763, 4370810, 4371146]"
b4142,+,4368639,[],[],"[4368670, 4369036]"
b4141,-,4368478,[4368670],"[4367187, 4367368, 4367735, 4367741, 4367988, 4368020, 4368277]","[4367413, 4367671]"
b4140,+,4366626,"[4366503, 4366617]",[],"[4366607, 4367187]"
b4139,-,4366454,"[4366485, 4366507, 4366607]","[4364974, 4365134, 4365321, 4365504, 4366209]","[4364914, 4365894, 4365948, 4366147]"
b4138,-,4364974,[],[4363752],[]
b4137,-,4363414,[],[],[4363213]
b4134,-,4360652,[4360793],[],[4360501]
b4654,-,4360558,[],[],[]
b4133,-,4359983,[4360088],"[4359183, 4359737]","[4359253, 4359358, 4359452, 4359558, 4359691, 4359967]"
b4130,-,4354555,[],[4353620],"[4354372, 4354411]"
b4129,-,4352828,[],[4352369],"[4351534, 4352069, 4352442, 4352708]"
b4559,+,4350711,[],[],[]
b4128,+,4350537,[4350373],[4350711],[4350594]
b4124,-,4348295,[],[],"[4347242, 4347317, 4347405, 4347435, 4347506, 4347670]"
b4122,-,4345597,[],[4344932],[4345299]
b4121,-,4343607,[],[4343183],"[4342852, 4343524, 4343526]"
b4119,+,4339910,[],"[4340339, 4340390, 4340883]","[4339955, 4339957, 4340372, 4341132]"
b4118,-,4339673,[],[],"[4338739, 4338878]"
b4116,-,4336018,"[4336044, 4336237]",[],[]
b4113,-,4331991,[4332045],"[4331418, 4331807]",[]
b4112,-,4331418,[],[],"[4330630, 4330697]"
b4111,+,4328343,[],[],[]
b4110,+,4327165,[4327144],"[4327706, 4328055]","[4327345, 4327347]"
b4109,+,4324956,[4324997],"[4326443, 4327144, 4327165]","[4325706, 4326806, 4327345, 4327347]"
b4108,-,4324818,[4324857],[],[4324503]
b4107,-,4323789,[],"[4323365, 4323422]",[]
b4106,-,4323365,[4323422],[],[4322892]
b4094,-,4314143,[],[4313646],[4313887]
b4093,-,4313646,[],[],[4313397]
b4089,-,4311039,[4311042],"[4310499, 4310962]","[4310688, 4310824]"
b4084,-,4306120,[],[],"[4304798, 4304842, 4304848]"
b4622,-,4302662,[],[],[]
b4079,-,4297474,[],"[4296055, 4296669, 4296682, 4296996, 4297261]","[4295494, 4296639, 4296904]"
b4078,-,4295172,[],[],[4294909]
b4077,+,4292398,"[4292331, 4292394, 4292396]","[4292526, 4292561, 4292597, 4292672]",[4292436]
b4074,+,4289245,[],"[4290338, 4290554]",[]
b4072,+,4287760,[],[],[]
b4070,+,4285695,[],"[4286160, 4286795]",[4285934]
b4069,-,4285413,[],[4284500],"[4283449, 4283465, 4285307]"
b4065,+,4277939,[4277735],"[4278039, 4278971]","[4279743, 4279751]"
b4064,+,4276341,[4276331],"[4276504, 4276561, 4277614, 4277735]",[]
b4459,-,4276089,[4276123],[],[4276103]
b4063,+,4275469,[4275389],[],[]
b4061,+,4273426,[],"[4273773, 4273778, 4274034, 4274806]","[4273741, 4273761, 4274133]"
b4060,-,4273192,[],[4272869],"[4272720, 4272844, 4273141]"
b4059,+,4272107,[4272038],[],[4272690]
b4058,-,4271956,[],"[4270747, 4270937]","[4270278, 4270706, 4271312]"
b4056,+,4268237,"[4267970, 4268031]",[],"[4268234, 4268735]"
b4055,+,4267378,[],"[4267756, 4267970, 4268031]","[4267711, 4268234]"
b4054,+,4265105,[],"[4265932, 4266200]","[4265253, 4265669, 4266391]"
b4051,-,4262327,[],"[4261989, 4262187]","[4261189, 4261462, 4261962, 4262060, 4262307]"
b4052,+,4262307,[4262060],"[4262701, 4263102]","[4262327, 4263594, 4263748, 4263768]"
b4050,+,4260765,[],[],[4260801]
b4049,+,4259615,[4259493],[4259923],[4260801]
b4046,-,4258054,[4258176],[],[]
b4045,+,4257202,[],"[4257316, 4257346]","[4257250, 4257287]"
b4044,+,4255707,[],"[4256460, 4256835]",[]
b4043,+,4255070,[],"[4255438, 4255707]",[]
b4041,-,4254525,[4254621],[4254350],"[4254376, 4254480]"
b4042,+,4254480,[4254376],[],"[4254621, 4254967]"
b4039,+,4250505,[4250297],[],"[4250443, 4250562]"
b4035,+,4244759,[],[4245180],"[4244819, 4245045]"
b4034,-,4244487,[],"[4244330, 4244338]",[4244025]
b4031,-,4240314,[],[4239097],"[4238717, 4239454]"
b4030,+,4238323,[4238081],"[4238621, 4238630, 4238717]","[4238263, 4238629]"
b4620,-,4238263,[],[],[4238081]
b4027,+,4234272,[],[],"[4234254, 4234321, 4234872]"
b4025,+,4231747,[],"[4232407, 4232766, 4233177]","[4231700, 4231965, 4232086, 4232193, 4232263, 4232792]"
b4024,-,4231434,[],"[4230230, 4230386]","[4229807, 4229931, 4230660, 4231227]"
b4023,-,4229679,[4229677],[],"[4229530, 4229664]"
b4022,+,4228359,[],[4228812],[]
b4021,-,4228191,[],[4227596],[]
b4020,+,4225625,[4225735],[],[]
b4019,+,4221807,[],[4223673],"[4221763, 4222533, 4222793, 4222897, 4225170, 4225413, 4225629]"
b4018,-,4221675,[4221763],"[4221014, 4221240, 4221280]",[4220800]
b4016,+,4216325,[],"[4216790, 4217154, 4217397]","[4216628, 4217378]"
b4014,+,4213427,[4213418],[4213678],[4214514]
b4013,+,4212256,[],"[4212585, 4212894, 4213090]","[4212605, 4213324]"
b4012,-,4212165,[],[],[]
b4010,+,4211063,[],[],[]
b4009,+,4207799,[],"[4208301, 4208467, 4209342, 4210513, 4210565]","[4209188, 4210135]"
b4008,+,4207571,[],[4207799],[4207933]
b4007,+,4205995,"[4205882, 4205886]","[4206508, 4207415, 4207571]","[4206129, 4206134, 4206866]"
b4006,-,4205650,[],[4205090],"[4204245, 4204818]"
b4004,+,4201269,[],[4201428],"[4201311, 4201357, 4202231, 4202739]"
b4003,+,4199918,[],[4201269],"[4201225, 4201311, 4201357]"
b4001,+,4198490,[],[],[]
b4000,+,4198199,[4198113],[4198490],[4198281]
b3999,+,4197503,[],"[4197992, 4198113]",[4197946]
b3998,+,4196680,[4196620],[4197149],[4196987]
b3997,+,4195715,[],"[4196620, 4196680]","[4195691, 4195797, 4195834]"
b3995,-,4194885,[4194976],[4194741],"[4194342, 4194708, 4194721, 4194903]"
b3996,+,4194708,"[4194721, 4194903]","[4194946, 4195224]","[4194885, 4194976, 4195351, 4195691, 4195797]"
b3994,-,4194323,[],[4193341],"[4193982, 4194080]"
b4691,-,4188510,[4188663],[],[]
b3989,+,4187787,[4187624],"[4188194, 4188196]","[4187926, 4188051, 4188057, 4188341]"
b3988,+,4183281,[4183192],"[4185841, 4185949, 4187436]","[4183563, 4185037, 4185108, 4185817, 4186353, 4187104, 4187126]"
b3987,+,4179024,[],"[4179350, 4180258, 4180753, 4182916, 4183192, 4183281]","[4179352, 4179354, 4179608, 4179939, 4183167]"
b3985,+,4177906,[],[4178281],"[4178043, 4178047, 4178111, 4178575]"
b3983,+,4176377,[],[],[4176851]
b3982,+,4175732,[],[],[]
b3981,+,4175200,[4175267],[4175732],[]
b3978,+,4173559,"[4173535, 4173696]",[],[]
b3976,+,4173404,"[4173202, 4173225, 4173298, 4173302]",[],[]
b3974,-,4173130,[4173227],"[4172501, 4172840]","[4172475, 4172863, 4173054]"
b3972,+,4170057,"[4169935, 4169965]","[4170369, 4170471, 4170494]","[4170152, 4170182, 4170482, 4170589, 4170828, 4171103]"
b3971,+,4169660,[],[],[]
b3970,+,4166397,[],"[4166899, 4167065, 4167940, 4169111, 4169163]","[4167786, 4168733]"
b3969,+,4166395,[],[4166397],[4166531]
b3968,+,4164507,[4164389],"[4165020, 4165927, 4166083]","[4164641, 4164646, 4165378, 4166249]"
b3967,+,4163423,"[4163174, 4163351]",[4163739],"[4163428, 4163645]"
b3966,+,4161422,"[4161392, 4161625, 4161656]","[4162187, 4162254, 4162563, 4162583, 4162814, 4163069, 4163174, 4163351, 4163423]","[4161638, 4161716, 4162261, 4162500, 4162793, 4162886, 4163070, 4163428]"
b3965,-,4161318,[],"[4160697, 4160946, 4160993, 4161221, 4161223]","[4161114, 4161240, 4161310, 4161392]"
b3964,+,4159579,[],[],[4160151]
b3963,+,4159102,"[4158868, 4159050, 4159080]","[4159459, 4159481, 4159579]","[4159079, 4159443]"
b3962,-,4158845,"[4158853, 4159079]",[4158531],"[4157542, 4157767, 4158793, 4158868]"
b4458,-,4156418,[],[],"[4156374, 4156480]"
b3961,+,4156374,[4156480],[],"[4156418, 4156839]"
b3957,-,4152920,[4153097],"[4152196, 4152364, 4152549, 4152571]","[4152173, 4152906, 4152910]"
b3958,+,4152910,[4152906],[],"[4153097, 4153218]"
b3956,-,4151210,[],"[4148613, 4149585, 4151113]","[4149447, 4150708, 4150860]"
b3955,-,4148378,[4148333],"[4146673, 4147096, 4147672, 4148075, 4148159]","[4146706, 4147013, 4147140, 4147426, 4147685, 4147782, 4147806]"
b3954,-,4146363,"[4146399, 4146543]",[],"[4145979, 4146393]"
b3952,+,4144172,[],[],[]
b3943,+,4133991,[4134106],[4134349],"[4134083, 4135064]"
b3942,+,4131765,"[4131558, 4131768]","[4133451, 4133991]","[4131790, 4131830, 4131996, 4131998, 4133198, 4133935, 4134083]"
b3941,+,4130372,[4130573],"[4131323, 4131489]",[4131394]
b3939,+,4126658,"[4126430, 4126433]","[4127178, 4127283]",[4126787]
b3938,-,4126552,"[4126489, 4126556]",[],"[4126114, 4126430, 4126433]"
b3936,+,4124934,"[4124877, 4124883, 4124975]",[],[4124960]
b3935,-,4124860,[4124960],"[4122684, 4124560]","[4122701, 4122732, 4122914, 4123232, 4123238, 4124089, 4124877, 4124883]"
b3934,-,4122533,[4122684],"[4121547, 4121625]","[4121994, 4122328]"
b3933,-,4121547,"[4121393, 4121625]",[4121089],"[4120311, 4120378]"
b3932,-,4120371,[4120376],"[4119983, 4120029]","[4120311, 4120378]"
b3931,-,4119983,[4120029],"[4118494, 4118513, 4118583]","[4118454, 4118531, 4118680, 4119018]"
b3930,-,4118513,"[4118494, 4118583]",[],"[4118298, 4118454]"
b3929,-,4117379,[],"[4117204, 4117226]",[4117255]
b3928,+,4116264,[],[],[]
b3927,-,4116184,[4116286],[],"[4115315, 4115853, 4116194, 4116202]"
b3925,-,4113626,[],"[4112798, 4112829]",[]
b3924,-,4112520,[],[4111882],[]
b3923,+,4111197,[],[4111498],[]
b3922,+,4110734,"[4110726, 4110954]",[4111197],[]
b3920,-,4110260,[],[4109668],"[4109574, 4110090, 4110313]"
b3921,+,4110090,[4110313],"[4110464, 4110726, 4110734]","[4110260, 4110776]"
b3919,-,4109668,[],"[4109275, 4109383]",[4109574]
b3918,+,4107929,[],[],[]
b3917,+,4106576,"[4106828, 4106849]",[4107027],[]
b3916,+,4105394,[4105443],"[4105738, 4105991]",[4105567]
b3915,+,4104472,[],"[4104858, 4104885, 4104958, 4105068, 4105394]",[4105362]
b4484,+,4103808,[],[],"[4103784, 4104056, 4104193]"
b3912,-,4103784,[],[4103062],[]
b3911,-,4103062,[],[4101777],"[4101795, 4102579]"
b3910,+,4100810,[],"[4100929, 4101276]",[4100797]
b3909,+,4099422,[],"[4099949, 4100393]",[4100428]
b3908,+,4098782,[],[4099422],[]
b3906,+,4096646,[],[4096934],[4097425]
b3905,+,4095703,[],[],[4096533]
b3900,-,4090860,[],[],[]
b3898,-,4089088,[],"[4087977, 4088366, 4088394]",[]
b3897,-,4087977,[],"[4086224, 4086270, 4087069, 4087157, 4087212]","[4086076, 4086666, 4086880, 4087313, 4087771]"
b3896,+,4084808,[4084783],"[4085331, 4086076]","[4085632, 4085660, 4085784, 4086056]"
b3894,-,4083988,[4083996],"[4082746, 4082837]","[4081490, 4081717, 4082945, 4083743]"
b3895,+,4083961,[4083743],"[4084783, 4084808]","[4083988, 4083996]"
b3892,-,4079954,[],"[4079384, 4079592]",[4079641]
b3891,-,4079384,[],[4078584],[]
b3890,+,4077718,[],[4077855],[4077775]
b3886,+,4074092,[4074094],"[4074180, 4074521]","[4074076, 4074597]"
b3885,+,4073552,[4073432],"[4074092, 4074094]","[4074003, 4074076]"
b3884,+,4072668,[],"[4072980, 4073432]",[]
b3883,+,4071737,[],[4072062],[]
b3872,+,4058442,[],[],"[4058834, 4059071]"
b3870,-,4056243,[4056129],"[4054663, 4055325]",[4056066]
b3871,+,4056196,"[4056174, 4056376, 4056403, 4056405]","[4056717, 4057370, 4057410, 4058044, 4058158]","[4057080, 4057137, 4057583]"
b3869,-,4054394,[],"[4054120, 4054149]","[4053873, 4054408]"
b4686,-,4051864,[],[],[]
b3867,+,4049966,[4049775],"[4050924, 4051284, 4051397]","[4050103, 4050280]"
b4457,+,4049059,[4048883],[],"[4049042, 4049363]"
b3865,-,4049042,[],[],[4048883]
b3864,+,4047922,"[4047706, 4047920]",[],"[4047956, 4048084]"
b3863,+,4044962,[],"[4045460, 4045565, 4046087, 4046323, 4047706]","[4045027, 4045135, 4047623]"
b3862,-,4044649,[],"[4043913, 4043926, 4044423, 4044433]",[4043593]
b3860,+,4041190,[4041275],[],[]
b3859,+,4040414,[4040405],"[4040801, 4040938, 4041098, 4041190, 4041275]",[]
b3857,-,4040165,[4040067],[],[]
b3855,+,4038540,[],[],[]
b3853,+,4035283,[],[],[]
b3852,+,4035164,[4034955],[],[]
b3851,+,4033379,[4033261],"[4033892, 4034799, 4034955]","[4033513, 4033518, 4034250]"
b3850,+,4032413,"[4032344, 4032401]",[4032818],"[4033047, 4033169, 4033204]"
b3849,+,4030942,[4031137],"[4031899, 4032060, 4032344, 4032401, 4032413]",[4031079]
b3848,+,4030255,[4030422],"[4030718, 4030758, 4030942]",[4031079]
b3847,+,4029153,[],"[4029345, 4030255, 4030422]",[]
b3846,-,4029036,[4029040],[4028895],[4027742]
b3842,-,4022866,"[4022896, 4022938, 4022947, 4023071, 4023075]",[4022490],"[4022389, 4022503, 4022835, 4022851, 4022855]"
b3843,+,4022835,"[4022851, 4022855]","[4023289, 4023972, 4024165, 4024202]","[4022938, 4022947, 4023071, 4023075, 4023442]"
b3836,+,4019933,"[4019698, 4019710, 4019786]",[],[]
b3834,+,4017443,[],[],[]
b3833,+,4016653,[],"[4017157, 4017191, 4017443]",[4017523]
b3832,+,4015331,[4015321],[4016653],"[4015823, 4016147, 4016239, 4016553]"
b3831,+,4014411,"[4014208, 4014222, 4014247, 4014349]","[4014591, 4014652, 4014968]","[4014748, 4015089]"
b3830,-,4014225,[4014248],"[4013410, 4013446]","[4013593, 4014022, 4014208, 4014222, 4014247]"
b3829,+,4010909,[],"[4011090, 4011092, 4011895]","[4010982, 4011967, 4012121, 4013410]"
b3828,-,4010878,[4010982],[4010103],"[4009822, 4010740, 4010909]"
b3827,+,4009077,[],"[4009291, 4009419, 4009725, 4009822]",[4009598]
b3824,-,4007159,[],[],"[4006653, 4007048, 4007091, 4007124]"
b3825,+,4007124,"[4007048, 4007091]",[4007606],"[4007159, 4007589]"
b3823,+,4005749,[],[4006218],[4005704]
b3822,+,4003859,"[4003669, 4003711, 4003805]",[4005257],"[4004779, 4005470, 4005704]"
b3821,+,4002838,[4002674],"[4002946, 4003546, 4003669, 4003711]","[4002846, 4002989, 4003726]"
b3820,-,4002748,"[4002752, 4002846, 4002989]",[],[4002674]
b3819,-,4002225,[4002248],[],[4001731]
b3817,-,4000971,[],"[4000474, 4000565, 4000617]",[]
b3816,+,3999215,[3999433],"[3999585, 3999773, 3999803]","[4000264, 4000283, 4000367, 4000474]"
b3813,+,3995930,[],[3997885],[3996120]
b4558,+,3992438,[3992288],[],[3992746]
b3807,-,3992106,[],[],[3992100]
b3806,+,3989022,[3988975],"[3989511, 3990367, 3990654, 3991452]","[3989274, 3989575, 3989727, 3989926, 3990119, 3990408, 3991389]"
b3805,-,3988972,[],"[3988279, 3988595]",[3988797]
b4456,+,3984455,[3984288],[],"[3984387, 3984725, 3984759]"
b3801,-,3984221,[],"[3982513, 3982635, 3983019, 3983213, 3983854]",[3984044]
b3800,+,3980845,[3980943],"[3981546, 3981982]",[3981031]
b3798,+,3980629,[],[],[]
b3797,+,3980532,[],[],[]
b3796,+,3980385,"[3980188, 3980223]",[],[]
b3795,+,3978846,[],"[3980188, 3980223]","[3978810, 3978879, 3978899, 3979050]"
b3793,+,3976393,[],"[3977139, 3977641]",[]
b4481,+,3975341,[3975514],"[3976317, 3976393]",[3975679]
b3792,+,3974299,[],"[3974517, 3974916, 3975133, 3975341, 3975514]",[3975313]
b3791,+,3973046,[],[3974299],"[3973826, 3973828]"
b3786,+,3968009,[],[],"[3968302, 3969260]"
b3784,+,3965913,[3965769],[3966153],"[3966711, 3966747, 3966867]"
b3783,+,3964185,[3964218],[3964748],"[3964535, 3965750]"
b3780,-,3963723,[],"[3962522, 3962651, 3963437]","[3962329, 3962402, 3962541, 3962573, 3962597, 3963132, 3963392, 3963396, 3963673]"
b3781,+,3963673,[],[],"[3963723, 3964190]"
b3779,-,3962363,[3962522],[3961648],"[3960834, 3961596, 3961977, 3962329]"
b3778,+,3958671,[],"[3958793, 3959222, 3960473]",[3959251]
b3777,-,3958520,[],[3958347],[3958068]
b3775,-,3958003,[],[],"[3957498, 3957585, 3957865]"
b3774,+,3955939,[],"[3956949, 3957162, 3957259]","[3956418, 3956867, 3956953]"
b3773,-,3955887,[],[3955195],"[3955272, 3955939]"
b3770,+,3950411,[],[3951006],"[3951416, 3951491]"
b3766,+,3948313,[3948241],[],[3948288]
