#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_021352.1",27004,28959,"+",69620419,,"C629_RS00140","WP_003855360.1",651,"MULTISPECIES: bifunctional metallophosphatase/5\\'-nucleotidase"
"chromosome","NC_021352.1",29626,30876,"+",69620421,,"C629_RS00150","WP_003855361.1",416,"MULTISPECIES: heparan-alpha-glucosaminide N-acetyltransferase domain-containing protein"
"chromosome","NC_021352.1",31077,33305,"+",69620422,,"C629_RS00155","WP_003855362.1",742,"GNAT family N-acetyltransferase"
"chromosome","NC_021352.1",33302,34789,"+",69620423,,"C629_RS00160","WP_230471434.1",495,"MULTISPECIES: flippase"
"chromosome","NC_021352.1",34779,35531,"+",69620424,,"C629_RS00165","WP_003855364.1",250,"MULTISPECIES: polysaccharide deacetylase family protein"
"chromosome","NC_021352.1",35528,36868,"+",69620425,,"C629_RS00170","WP_003855365.1",446,"O-antigen ligase family protein"
"chromosome","NC_021352.1",36858,38006,"+",69620426,,"C629_RS00175","WP_003855366.1",382,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",37981,39099,"+",69620427,,"C629_RS00180","WP_003855367.1",372,"MULTISPECIES: glycosyltransferase"
"chromosome","NC_021352.1",39096,40127,"-",69620428,,"C629_RS00185","WP_003855368.1",343,"glycosyltransferase family 4 protein"
"chromosome","NC_021352.1",40124,41554,"-",69620429,,"C629_RS00190","WP_230471435.1",476,"sugar transferase"
"chromosome","NC_021352.1",41893,43002,"+",69620430,,"C629_RS00195","WP_074469778.1",369,"MULTISPECIES: glycosyltransferase family 4 protein"
"chromosome","NC_021352.1",43047,44111,"+",69620431,,"C629_RS00200","WP_230471436.1",354,"MULTISPECIES: cellulase family glycosylhydrolase"
"chromosome","NC_021352.1",44683,45120,"+",69620434,,"C629_RS00215","WP_003855372.1",145,"MULTISPECIES: organic hydroperoxide resistance protein"
"chromosome","NC_021352.1",45270,46961,"-",69620435,,"C629_RS00220","WP_003855373.1",563,"MULTISPECIES: putative DNA binding domain-containing protein"
"chromosome","NC_021352.1",47206,48486,"-",69620436,,"C629_RS00225","WP_003855374.1",426,"zinc metallochaperone AztD"
"chromosome","NC_021352.1",48568,49524,"-",69620437,,"C629_RS00230","WP_003855375.1",318,"MULTISPECIES: metal ABC transporter substrate-binding protein"
"chromosome","NC_021352.1",49521,50372,"-",69620438,,"C629_RS00235","WP_003855376.1",283,"zinc ABC transporter permease AztB"
"chromosome","NC_021352.1",50402,51061,"+",69620439,,"C629_RS00240","WP_003855377.1",219,"MULTISPECIES: zinc ABC transporter ATP-binding protein AztA"
"chromosome","NC_021352.1",51104,52087,"+",69620440,,"C629_RS00245","WP_031512453.1",327,"MULTISPECIES: substrate-binding domain-containing protein"
"chromosome","NC_021352.1",52084,53109,"+",69620441,,"C629_RS00250","WP_003855379.1",341,"MULTISPECIES: ABC transporter permease"
"chromosome","NC_021352.1",53106,53867,"+",69620442,,"C629_RS00255","WP_003855380.1",253,"MULTISPECIES: ATP-binding cassette domain-containing protein"
"chromosome","NC_021352.1",53869,54705,"-",69620443,,"C629_RS00260","WP_003855381.1",278,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",54796,55332,"+",69620444,,"C629_RS00265","WP_031512456.1",178,"MULTISPECIES: peptidylprolyl isomerase"
"chromosome","NC_021352.1",55442,56101,"+",69620445,,"C629_RS00270","WP_003855383.1",219,"rhomboid family intramembrane serine protease"
"chromosome","NC_021352.1",56674,57249,"-",69623452,,"C629_RS16170","WP_230471437.1",191,"MULTISPECIES: helix-turn-helix domain-containing protein"
"chromosome","NC_021352.1",57401,57715,"-",69623453,,"C629_RS16175","WP_230471438.1",104,"MULTISPECIES: AraC family transcriptional regulator"
"chromosome","NC_021352.1",57712,58098,"-",69620446,,"C629_RS00280","WP_003855384.1",128,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",58369,58593,"+",69620447,,"C629_RS00285","WP_003855386.1",74,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",58865,59014,"-",69623429,,"C629_RS16050","WP_166773874.1",49,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",59580,59852,"-",69620448,"crgA","C629_RS00290","WP_003855388.1",90,"MULTISPECIES: cell division protein CrgA"
"chromosome","NC_021352.1",59953,61896,"-",69620449,"pknB","C629_RS00295","WP_003855389.1",647,"MULTISPECIES: Stk1 family PASTA domain-containing Ser/Thr kinase"
"chromosome","NC_021352.1",61893,63302,"-",69620450,,"C629_RS00300","WP_003855390.1",469,"MULTISPECIES: serine/threonine protein kinase"
"chromosome","NC_021352.1",63306,64730,"-",69620451,,"C629_RS00305","WP_003855391.1",474,"MULTISPECIES: penicillin-binding protein 2"
"chromosome","NC_021352.1",64727,66052,"-",69620452,,"C629_RS00310","WP_003855392.1",441,"MULTISPECIES: FtsW/RodA/SpoVE family cell cycle protein"
"chromosome","NC_021352.1",66049,67404,"-",69620453,,"C629_RS00315","WP_003855393.1",451,"MULTISPECIES: protein phosphatase 2C domain-containing protein"
"chromosome","NC_021352.1",67404,67868,"-",69620454,,"C629_RS00320","WP_003855394.1",154,"MULTISPECIES: FHA domain-containing protein"
"chromosome","NC_021352.1",67885,68781,"-",69620455,,"C629_RS00325","WP_003861088.1",298,"MULTISPECIES: DUF3662 and FHA domain-containing protein"
"chromosome","NC_021352.1",69277,69477,"-",69623454,,"C629_RS16180","WP_230471439.1",66,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",70346,70819,"-",69620457,,"C629_RS00345","WP_003855397.1",157,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",71005,72477,"-",69620458,,"C629_RS00350","WP_003855399.1",490,"NAD-dependent succinate-semialdehyde dehydrogenase"
"chromosome","NC_021352.1",72685,72876,"+",69623455,,"C629_RS16185","WP_230471440.1",63,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",73520,74890,"+",69620459,,"C629_RS00360","WP_003855401.1",456,"MULTISPECIES: MBL fold metallo-hydrolase"
"chromosome","NC_021352.1",74967,75713,"-",69620460,,"C629_RS00365","WP_003855402.1",248,"sulfite exporter TauE/SafE family protein"
"chromosome","NC_021352.1",75723,76016,"-",69620461,,"C629_RS00370","WP_003855403.1",97,"MULTISPECIES: rhodanese-like domain-containing protein"
"chromosome","NC_021352.1",76017,76610,"-",69620462,,"C629_RS00375","WP_003855404.1",197,"MULTISPECIES: rhodanese-like domain-containing protein"
"chromosome","NC_021352.1",76736,76993,"+",69620463,,"C629_RS00380","WP_003855405.1",85,"MULTISPECIES: metal-sensitive transcriptional regulator"
"chromosome","NC_021352.1",77454,78311,"+",69620464,,"C629_RS00385","WP_003855406.1",285,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",78470,79300,"+",69620465,,"C629_RS00390","WP_230471441.1",276,"MULTISPECIES: polyphosphate polymerase domain-containing protein"
"chromosome","NC_021352.1",79319,80032,"+",69620466,,"C629_RS00395","WP_003855408.1",237,"MULTISPECIES: DUF4956 domain-containing protein"
"chromosome","NC_021352.1",80066,81712,"+",69620467,,"C629_RS00400","WP_003855409.1",548,"CotH kinase family protein"
"chromosome","NC_021352.1",81776,82897,"-",69620468,,"C629_RS00405","WP_003855410.1",373,"MULTISPECIES: magnesium and cobalt transport protein CorA"
"chromosome","NC_021352.1",82980,83429,"-",69620469,,"C629_RS00410","WP_003855411.1",149,"MULTISPECIES: tautomerase family protein"
"chromosome","NC_021352.1",83579,84850,"+",69620470,,"C629_RS00415","WP_003855412.1",423,"MULTISPECIES: chloride channel protein"
"chromosome","NC_021352.1",84894,85586,"-",69620471,"pnuC","C629_RS00420","WP_003855413.1",230,"MULTISPECIES: nicotinamide riboside transporter PnuC"
"chromosome","NC_021352.1",85999,87375,"+",69620472,,"C629_RS00425","WP_003855414.1",458,"MULTISPECIES: PhoH family protein"
"chromosome","NC_021352.1",87636,88022,"-",69620473,,"C629_RS00430","WP_003855415.1",128,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",88105,89685,"-",69620474,,"C629_RS00435","WP_003855416.1",526,"CitMHS family transporter"
"chromosome","NC_021352.1",89914,91548,"+",69620475,,"C629_RS00440","WP_003855417.1",544,"sensor histidine kinase"
"chromosome","NC_021352.1",91548,92204,"+",69620476,,"C629_RS00445","WP_003855418.1",218,"MULTISPECIES: response regulator"
"chromosome","NC_021352.1",92201,93115,"-",69620477,,"C629_RS00450","WP_003855419.1",304,"MULTISPECIES: D-isomer specific 2-hydroxyacid dehydrogenase family protein"
"chromosome","NC_021352.1",93231,93662,"+",69620478,,"C629_RS00455","WP_003855420.1",143,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",93877,94881,"+",69620479,"bioB","C629_RS00460","WP_003855421.1",334,"MULTISPECIES: biotin synthase BioB"
"chromosome","NC_021352.1",94893,95132,"+",69620480,,"C629_RS00465","WP_011013366.1",79,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",95084,95425,"+",69620481,,"C629_RS00470","WP_003855422.1",113,"MULTISPECIES: CHY zinc finger protein"
"chromosome","NC_021352.1",101531,102982,"-",69620485,,"C629_RS00490","WP_003857716.1",483,"MULTISPECIES: MFS transporter"
"chromosome","NC_021352.1",103102,104349,"-",69620486,,"C629_RS00495","WP_003857715.1",415,"MULTISPECIES: amidohydrolase family protein"
"chromosome","NC_021352.1",104593,105108,"-",69620487,,"C629_RS00500","WP_003857714.1",171,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",105365,106132,"+",69620488,,"C629_RS00505","WP_230471442.1",255,"MULTISPECIES: NAD-dependent protein deacetylase"
"chromosome","NC_021352.1",106445,107419,"-",69620489,,"C629_RS00510","WP_003857712.1",324,"MULTISPECIES: triacylglycerol lipase"
"chromosome","NC_021352.1",107429,108331,"-",69620490,,"C629_RS00515","WP_003857711.1",300,"MULTISPECIES: triacylglycerol lipase"
"chromosome","NC_021352.1",108502,109335,"+",69620491,,"C629_RS00520","WP_003857710.1",277,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",109345,109860,"-",69620492,,"C629_RS00525","WP_003857709.1",171,"MULTISPECIES: MarR family winged helix-turn-helix transcriptional regulator"
"chromosome","NC_021352.1",110060,110362,"+",69620493,,"C629_RS00530","WP_003857708.1",100,"MULTISPECIES: urease subunit gamma"
"chromosome","NC_021352.1",110389,110865,"+",69620494,,"C629_RS00535","WP_003857707.1",158,"MULTISPECIES: urease subunit beta"
"chromosome","NC_021352.1",110866,112578,"+",69620495,"ureC","C629_RS00540","WP_003857706.1",570,"MULTISPECIES: urease subunit alpha"
"chromosome","NC_021352.1",112603,113076,"+",69620496,"ureE","C629_RS00545","WP_003857705.1",157,"MULTISPECIES: urease accessory protein UreE"
"chromosome","NC_021352.1",113076,113756,"+",69620497,,"C629_RS00550","WP_003857704.1",226,"MULTISPECIES: urease accessory protein UreF"
"chromosome","NC_021352.1",113773,114390,"+",69620498,"ureG","C629_RS00555","WP_003857703.1",205,"MULTISPECIES: urease accessory protein UreG"
"chromosome","NC_021352.1",114391,115242,"+",69620499,,"C629_RS00560","WP_003857702.1",283,"MULTISPECIES: urease accessory protein UreD"
"chromosome","NC_021352.1",115246,116400,"-",69620500,,"C629_RS00565","WP_003857701.1",384,"MULTISPECIES: MFS transporter"
"chromosome","NC_021352.1",116735,119512,"-",69620501,,"C629_RS00570","WP_003857700.1",925,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",119539,121365,"-",69620502,,"C629_RS00575","WP_003857699.1",608,"HSP90 family protein"
"chromosome","NC_021352.1",121433,122842,"+",69620503,"amn","C629_RS00580","WP_003857698.1",469,"MULTISPECIES: AMP nucleosidase"
"chromosome","NC_021352.1",125052,126053,"-",69620505,,"C629_RS00590","WP_003858654.1",333,"MULTISPECIES: LacI family transcriptional regulator"
"chromosome","NC_021352.1",126218,127537,"+",69620506,"hisD","C629_RS00595","WP_003858656.1",439,"MULTISPECIES: histidinol dehydrogenase"
"chromosome","NC_021352.1",127564,128883,"+",69620507,,"C629_RS00600","WP_003858657.1",439,"MULTISPECIES: GntP family permease"
"chromosome","NC_021352.1",130451,131932,"-",69620509,,"C629_RS00610","WP_003859486.1",493,"MULTISPECIES: multicopper oxidase family protein"
"chromosome","NC_021352.1",132003,132578,"-",69620510,,"C629_RS00615","WP_006284600.1",191,"MULTISPECIES: CueP family metal-binding protein"
"chromosome","NC_021352.1",132982,133704,"+",69620511,,"C629_RS00620","WP_006284598.1",240,"MULTISPECIES: response regulator transcription factor"
"chromosome","NC_021352.1",133701,134900,"+",69620512,,"C629_RS00625","WP_006284596.1",399,"MULTISPECIES: HAMP domain-containing histidine kinase"
"chromosome","NC_021352.1",134910,135083,"+",69623457,,"C629_RS16195","WP_230471443.1",57,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",135055,135291,"+",69620513,,"C629_RS00630","WP_230471444.1",78,"MULTISPECIES: heavy-metal-associated domain-containing protein"
"chromosome","NC_021352.1",135342,137564,"+",69620514,,"C629_RS00635","WP_020309512.1",740,"copper-translocating P-type ATPase"
"chromosome","NC_021352.1",137612,138226,"+",69620515,,"C629_RS00640","WP_006284591.1",204,"MULTISPECIES: YdhK family protein"
"chromosome","NC_021352.1",138582,138812,"-",69620516,,"C629_RS00645","WP_006284587.1",76,"MULTISPECIES: Lrp/AsnC ligand binding domain-containing protein"
"chromosome","NC_021352.1",140542,140808,"+",69620518,,"C629_RS00655","WP_003859035.1",88,"hypothetical protein"
"chromosome","NC_021352.1",140811,142373,"+",69623430,,"C629_RS16055","WP_003859032.1",520,"hypothetical protein"
"chromosome","NC_021352.1",142428,143000,"-",69620519,,"C629_RS00665","WP_003859030.1",190,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",143472,144098,"-",69620520,,"C629_RS00670","WP_003859028.1",208,"MULTISPECIES: recombinase family protein"
"chromosome","NC_021352.1",144448,144807,"+",69620521,,"C629_RS00675","WP_003859027.1",119,"MULTISPECIES: metalloregulator ArsR/SmtB family transcription factor"
"chromosome","NC_021352.1",144807,145400,"+",69620522,,"C629_RS00680","WP_003859025.1",197,"MULTISPECIES: cadmium resistance transporter"
"chromosome","NC_021352.1",145659,147080,"-",69620523,"merA","C629_RS00685","WP_003859023.1",473,"MULTISPECIES: mercury(II) reductase"
"chromosome","NC_021352.1",147179,147568,"+",69620524,,"C629_RS00690","WP_003859021.1",129,"MULTISPECIES: heavy metal-responsive transcriptional regulator"
"chromosome","NC_021352.1",147673,148056,"-",69620525,,"C629_RS00695","WP_230471445.1",127,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",148332,149279,"+",69620526,,"C629_RS00700","WP_003859017.1",315,"helix-turn-helix transcriptional regulator"
"chromosome","NC_021352.1",149276,150184,"+",69620527,,"C629_RS00705","WP_003859015.1",302,"aldo/keto reductase"
"chromosome","NC_021352.1",150649,151416,"+",69620528,,"C629_RS00710","WP_003859013.1",255,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",151468,152889,"+",69620529,,"C629_RS00715","WP_003859011.1",473,"AAA family ATPase"
"chromosome","NC_021352.1",152928,153959,"+",69620530,"mcrC","C629_RS00720","WP_230471482.1",343,"MULTISPECIES: 5-methylcytosine-specific restriction endonuclease system specificity protein McrC"
"chromosome","NC_021352.1",153995,154159,"-",69623407,,"C629_RS15880","WP_155240877.1",54,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",155551,156102,"-",69620532,,"C629_RS00730","WP_003859044.1",183,"MULTISPECIES: PepSY domain-containing protein"
"chromosome","NC_021352.1",156371,159820,"+",69620533,,"C629_RS00735","WP_003859047.1",1149,"MULTISPECIES: proline dehydrogenase family protein"
"chromosome","NC_021352.1",160134,160547,"+",69620534,,"C629_RS00740","WP_006285365.1",137,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",160586,161629,"+",69620535,,"C629_RS00745","WP_230471399.1",347,"MULTISPECIES: DDE-type integrase/transposase/recombinase"
"chromosome","NC_021352.1",161909,162856,"+",69620536,,"C629_RS00750","WP_003858893.1",315,"MULTISPECIES: aldo/keto reductase"
"chromosome","NC_021352.1",163004,164620,"+",69620537,,"C629_RS00755","WP_020447868.1",538,"MULTISPECIES: AbgT family transporter"
"chromosome","NC_021352.1",164627,166015,"+",69620538,,"C629_RS00760","WP_003857291.1",462,"M20 family metallopeptidase"
"chromosome","NC_021352.1",166089,167015,"-",69620539,,"C629_RS00765","WP_003857287.1",308,"MULTISPECIES: isocitrate lyase/PEP mutase family protein"
"chromosome","NC_021352.1",167121,168374,"+",69620540,,"C629_RS00770","WP_003857285.1",417,"MULTISPECIES: cytochrome P450"
"chromosome","NC_021352.1",168374,169552,"+",69620541,,"C629_RS00775","WP_006283806.1",392,"MULTISPECIES: FAD-dependent oxidoreductase"
"chromosome","NC_021352.1",169582,169776,"+",69620542,,"C629_RS00780","WP_003857282.1",64,"MULTISPECIES: ferredoxin"
"chromosome","NC_021352.1",169825,170607,"+",69620543,,"C629_RS00785","WP_003857280.1",260,"MULTISPECIES: SDR family oxidoreductase"
"chromosome","NC_021352.1",170625,171851,"+",69620544,,"C629_RS00790","WP_230471446.1",408,"MFS transporter"
"chromosome","NC_021352.1",171851,173227,"+",69620545,,"C629_RS00795","WP_003857276.1",458,"MULTISPECIES: FAD-dependent oxidoreductase"
"chromosome","NC_021352.1",173220,174020,"+",69620546,,"C629_RS00800","WP_003857275.1",266,"MULTISPECIES: aldolase/citrate lyase family protein"
"chromosome","NC_021352.1",174155,174868,"+",69620547,,"C629_RS00805","WP_020309515.1",237,"MULTISPECIES: GntR family transcriptional regulator"
"chromosome","NC_021352.1",174865,175335,"+",69620548,,"C629_RS00810","WP_003857272.1",156,"MULTISPECIES: HtaA domain-containing protein"
"chromosome","NC_021352.1",175400,177016,"-",69620549,,"C629_RS00815","WP_003857269.1",538,"MULTISPECIES: GMC family oxidoreductase N-terminal domain-containing protein"
"chromosome","NC_021352.1",177139,177801,"+",69620550,,"C629_RS00820","WP_003857267.1",220,"MULTISPECIES: TetR/AcrR family transcriptional regulator"
"chromosome","NC_021352.1",177976,179475,"+",69620551,,"C629_RS00825","WP_003857264.1",499,"aldehyde dehydrogenase family protein"
"chromosome","NC_021352.1",179592,180911,"-",69620552,,"C629_RS00830","WP_003857261.1",439,"MULTISPECIES: cytochrome P450"
"chromosome","NC_021352.1",181249,182469,"+",69620553,,"C629_RS00835","WP_003857259.1",406,"MULTISPECIES: C4-dicarboxylate TRAP transporter substrate-binding protein"
"chromosome","NC_021352.1",182597,183184,"+",69620554,,"C629_RS00840","WP_003857257.1",195,"MULTISPECIES: TRAP transporter small permease"
"chromosome","NC_021352.1",183177,184727,"+",69620555,,"C629_RS00845","WP_003857255.1",516,"MULTISPECIES: TRAP transporter large permease"
"chromosome","NC_021352.1",184734,185168,"+",69620556,,"C629_RS00850","WP_003857254.1",144,"MULTISPECIES: HtaA domain-containing protein"
"chromosome","NC_021352.1",185178,186632,"+",69620557,,"C629_RS00855","WP_003857253.1",484,"MULTISPECIES: aldehyde dehydrogenase"
"chromosome","NC_021352.1",186648,187733,"+",69620558,,"C629_RS00860","WP_003857252.1",361,"MULTISPECIES: Zn-dependent alcohol dehydrogenase"
"chromosome","NC_021352.1",188094,188645,"+",69620559,,"C629_RS00865","WP_003857250.1",183,"MULTISPECIES: LysR family substrate-binding domain-containing protein"
"chromosome","NC_021352.1",188704,189072,"+",69620560,,"C629_RS00870","WP_003857248.1",122,"MULTISPECIES: YidH family protein"
"chromosome","NC_021352.1",189075,189392,"+",69620561,,"C629_RS00875","WP_003857246.1",105,"MULTISPECIES: DUF202 domain-containing protein"
"chromosome","NC_021352.1",189763,189975,"-",69620562,,"C629_RS00880","WP_003857242.1",70,"MULTISPECIES: helix-turn-helix transcriptional regulator"
"chromosome","NC_021352.1",190199,190990,"-",69620563,,"C629_RS00885","WP_003857240.1",263,"MULTISPECIES: DeoR/GlpR family DNA-binding transcription regulator"
"chromosome","NC_021352.1",191404,191793,"+",69620564,,"C629_RS00890","WP_003857236.1",129,"MULTISPECIES: VOC family protein"
"chromosome","NC_021352.1",191796,192308,"-",69620565,,"C629_RS00895","WP_003857234.1",170,"MULTISPECIES: histidine phosphatase family protein"
"chromosome","NC_021352.1",192334,193845,"-",69620566,,"C629_RS00900","WP_003857232.1",503,"MULTISPECIES: mannitol dehydrogenase family protein"
"chromosome","NC_021352.1",193890,195227,"-",69620567,,"C629_RS00905","WP_003857230.1",445,"MULTISPECIES: RbtT/DalT/CsbX family MFS transporter"
"chromosome","NC_021352.1",195507,196355,"+",69620568,,"C629_RS00910","WP_003857229.1",282,"MULTISPECIES: DeoR/GlpR family DNA-binding transcription regulator"
"chromosome","NC_021352.1",196357,197739,"+",69620569,"xylB","C629_RS00915","WP_003857226.1",460,"MULTISPECIES: xylulokinase"
"chromosome","NC_021352.1",197736,198575,"-",69620570,"panC","C629_RS00920","WP_003857225.1",279,"MULTISPECIES: pantoate--beta-alanine ligase"
"chromosome","NC_021352.1",198575,199384,"-",69620571,"panB","C629_RS00925","WP_034982403.1",269,"MULTISPECIES: 3-methyl-2-oxobutanoate hydroxymethyltransferase"
"chromosome","NC_021352.1",199482,200699,"-",69620572,,"C629_RS00930","WP_003857220.1",405,"MULTISPECIES: Fic family protein"
"chromosome","NC_021352.1",200873,201442,"-",69620573,,"C629_RS00935","WP_006283842.1",189,"MULTISPECIES: DNA-3-methyladenine glycosylase"
"chromosome","NC_021352.1",201532,202032,"+",69620574,,"C629_RS00940","WP_003857215.1",166,"MULTISPECIES: helix-hairpin-helix domain-containing protein"
"chromosome","NC_021352.1",202014,202187,"+",69623431,,"C629_RS16060","WP_173664579.1",57,"MULTISPECIES: DUF1801 domain-containing protein"
"chromosome","NC_021352.1",202198,203097,"-",69620575,,"C629_RS00945","WP_003857213.1",299,"MULTISPECIES: alpha/beta hydrolase"
"chromosome","NC_021352.1",203208,203813,"+",69620576,,"C629_RS00950","WP_003857210.1",201,"MULTISPECIES: HAD family phosphatase"
"chromosome","NC_021352.1",203810,204370,"+",69620577,,"C629_RS00955","WP_003857208.1",186,"gamma carbonic anhydrase family protein"
"chromosome","NC_021352.1",204354,205499,"-",69620578,,"C629_RS00960","WP_006283847.1",381,"MULTISPECIES: winged helix-turn-helix domain-containing protein"
"chromosome","NC_021352.1",205590,206864,"-",69620579,,"C629_RS00965","WP_003857203.1",424,"MULTISPECIES: MFS transporter"
"chromosome","NC_021352.1",206904,207890,"-",69620580,,"C629_RS00970","WP_003857202.1",328,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",208093,209160,"+",69620581,,"C629_RS00975","WP_003857200.1",355,"MULTISPECIES: ankyrin repeat domain-containing protein"
"chromosome","NC_021352.1",209157,209948,"-",69620582,,"C629_RS00980","WP_003857198.1",263,"MULTISPECIES: DeoR/GlpR family DNA-binding transcription regulator"
"chromosome","NC_021352.1",210105,210740,"+",69620583,"eda","C629_RS00985","WP_003857197.1",211,"MULTISPECIES: bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase"
"chromosome","NC_021352.1",210743,212062,"+",69620584,,"C629_RS00990","WP_003857196.1",439,"MULTISPECIES: MFS transporter"
"chromosome","NC_021352.1",212059,212691,"+",69620585,,"C629_RS00995","WP_003857194.1",210,"MULTISPECIES: AAA family ATPase"
"chromosome","NC_021352.1",212748,213506,"+",69620586,,"C629_RS01000","WP_003857192.1",252,"MULTISPECIES: sulfite exporter TauE/SafE family protein"
"chromosome","NC_021352.1",213538,214419,"-",69620587,,"C629_RS01005","WP_003857188.1",293,"MULTISPECIES: hypothetical protein"
"chromosome","NC_021352.1",214545,215264,"+",69620588,,"C629_RS01010","WP_003857186.1",239,"MULTISPECIES: trimeric intracellular cation channel family protein"
"chromosome","NC_021352.1",215261,215596,"+",69620589,,"C629_RS01015","WP_003857185.1",111,"MULTISPECIES: META domain-containing protein"
"chromosome","NC_021352.1",215593,216003,"-",69620590,,"C629_RS01020","WP_003857183.1",136,"MULTISPECIES: aspartate 1-decarboxylase"
